,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
138,Mexico,Liga MX,2012/2013,04/11/2012,01:00,Monterrey,U.A.N.L.- Tigres,0,1,A,2.57,3.19,3.1,2.57,3.35,3.8,2.29,3.11,3.09
139,Mexico,Liga MX,2012/2013,04/11/2012,02:30,Club Tijuana,Atl. San Luis,0,0,D,1.53,4.11,7.66,1.58,4.4,8.8,1.53,3.74,6.1
140,Mexico,Liga MX,2012/2013,04/11/2012,18:00,Toluca,Monarcas,0,0,D,2.17,3.52,3.58,2.29,3.52,3.58,2.13,3.22,3.27
141,Mexico,Liga MX,2012/2013,04/11/2012,22:00,Atlas,Puebla,2,2,D,2.2,3.32,3.71,2.22,3.35,3.71,2.11,3.17,3.34
142,Mexico,Liga MX,2012/2013,05/11/2012,00:00,Atlante,Club Leon,2,3,A,2.93,3.34,2.6,2.95,4.25,2.6,2.81,3.23,2.38
143,Mexico,Liga MX,2012/2013,08/11/2012,02:30,Monterrey,Toluca,2,2,D,1.91,3.68,4.34,1.91,3.68,4.75,1.81,3.44,4.21
144,Mexico,Liga MX,2012/2013,10/11/2012,03:30,Club Leon,Atlas,3,1,H,1.39,5.32,8.34,1.41,6.0,10.5,1.38,4.49,7.3
145,Mexico,Liga MX,2012/2013,10/11/2012,03:30,Monarcas,Santos Laguna,2,0,H,2.06,3.68,3.7,2.2,3.69,4.2,2.06,3.33,3.35
146,Mexico,Liga MX,2012/2013,10/11/2012,23:00,Cruz Azul,Monterrey,1,1,D,2.21,3.45,3.53,2.24,3.52,3.55,2.12,3.27,3.25
147,Mexico,Liga MX,2012/2013,11/11/2012,01:00,Pachuca,Chiapas,2,1,H,2.99,3.23,2.63,3.0,3.3,2.65,2.72,3.12,2.52
148,Mexico,Liga MX,2012/2013,11/11/2012,01:00,U.A.N.L.- Tigres,Club America,1,1,D,2.23,3.44,3.49,2.33,3.44,3.49,2.23,3.19,3.1
149,Mexico,Liga MX,2012/2013,11/11/2012,03:00,Atl. San Luis,Toluca,0,2,A,3.54,3.49,2.19,3.55,3.49,2.29,3.17,3.23,2.18
